,Year,Player,Pos,G,MP,PER,Team,Notes,index,Height,Weight,Age,Draft_year,Prev_Avg_EFF,After_Avg_EFF,Ankle ,Foot,Hip ,Knee,Finger,Shoulder,Back,Achilles,Hamstring,Other,Type 
75,2012,Al Horford,C,11,348,19,Hawks,surgery to repair torn left pectoral muscle (out for season),5,208.28,113.398,26,2007,16.4,22.6,0,0,0,0,0,0,0,0,0,1,Other
189,2015,Al Jefferson,C,65,1992,19.7,Hornets,sore right knee (out for season),8,208.28,131.088088,30,2004,23.1,9.4,0,0,0,1,0,0,0,0,0,0,Knee
136,2014,Alec Burks,SG,78,2193,15.8,Jazz,placed on IL with left shoulder injury (out for season),7,198.12,95.707912,22,2011,5.9,10.4,0,0,0,0,0,1,0,0,0,0,Shoulder
197,2015,Alex Len,C,69,1518,13.5,Suns,fractured nose (out for season),8,215.9,115.66596,22,2013,11.4,11.9,0,0,0,1,0,0,0,0,0,0,Knee
139,2014,Allen Crabbe,SG,15,100,7.7,Blazers,placed on IL (out for season),7,198.12,95.25432,22,2013,1.7,9.6,0,0,0,1,0,0,0,0,0,0,Knee
286,2017,Amir Johnson,PF,80,1608,15,Celtics,sprained right shoulder (out for season),10,205.74,108.86208,30,2005,16,5.9,0,0,0,0,0,1,0,0,0,0,Shoulder
61,2012,Andray Blatche,PF,26,626,10.6,Wizards,placed on IL (F) (out for season),5,210.82,117.93392,25,2005,10.4,12.4,0,0,0,0,0,0,0,0,0,1,Other
31,2011,Andre Iguodala,SF,67,2469,17.2,76ers,placed on IL with right knee tendinitis (out for season),4,198.12,93.893544,27,2004,9.1,16,0,0,0,1,0,0,0,0,0,0,Knee
8,2011,Andrea Bargnani,C,66,2353,16.4,Raptors,placed on IL with sore right ankle (out for season),4,213.36,113.398,25,2006,8.6,9.7,1,0,0,0,0,0,0,0,0,0,Ankle
35,2011,Andrei Kirilenko,SF,64,1999,16.6,Jazz,placed on IL with nerve damage in left knee (out for season),4,205.74,106.59412,30,1999,15.9,16.1,0,0,0,1,0,0,0,0,0,0,Knee
12,2011,Andrew Bogut,C,65,2297,16.7,Bucks,placed on IL with loose particles and scar tissue in right elbow (out for season),4,213.36,117.93392,26,2005,19.6,13,0,0,0,0,0,0,0,0,0,1,Other
32,2011,Antawn Jamison,PF,56,1842,16.8,Cavaliers,placed on IL recovering from surgery to repair broken left little finger (out for season),4,205.74,106.59412,35,1998,22,10.2,0,0,0,0,1,0,0,0,0,0,Finger 
234,2016,Anthony Davis,C,61,2164,25,Pelicans,left knee injury and torn labrum in left shoulder (out for season),9,208.28,114.758776,23,2012,18.3,32.9,0,0,0,0,0,1,0,0,0,0,Shoulder
301,2017,Anthony Tolliver,PF,65,1477,11.1,Kings,placed on IL for rest (out for season),10,203.2,108.86208,32,Undrafted,4.6,5.7,0,0,0,0,0,0,0,0,0,1,Other
