,Year,Player,Pos,G,MP,PER,Team,Notes,index,Height,Weight,Age,Draft_year,Prev_EFF,After_EFF
75,2012,Al Horford,C,11,348,19.0,Hawks,surgery to repair torn left pectoral muscle (out for season),5,208.28,113.398,26.0,2007,17.4,22.6
189,2015,Al Jefferson,C,65,1992,19.7,Hornets,sore right knee (out for season),8,208.28,131.088088,30.0,2004,18.9,9.4
136,2014,Alec Burks,SG,78,2193,15.8,Jazz,placed on IL with left shoulder injury (out for season),7,198.12,95.707912,22.0,2011,12.2,10.400000000000004
197,2015,Alex Len,C,69,1518,13.5,Suns,fractured nose (out for season),8,215.9,115.66596,22.0,2013,11.399999999999999,11.899999999999999
139,2014,Allen Crabbe,SG,15,100,7.7,Blazers,placed on IL (out for season),7,198.12,95.25432,22.0,2013,1.7,9.599999999999998
286,2017,Amir Johnson,PF,80,1608,15.0,Celtics,sprained right shoulder (out for season),10,205.74,108.86208,30.0,2005,10.900000000000002,5.900000000000001
61,2012,Andray Blatche,PF,26,626,10.6,Wizards,placed on IL (F) (out for season),5,210.82,117.93392,25.0,2005,9.099999999999998,12.400000000000002
31,2011,Andre Iguodala,SF,67,2469,17.2,76ers,placed on IL with right knee tendinitis (out for season),4,198.12,93.893544,27.0,2004,18.5,16.0
8,2011,Andrea Bargnani,C,66,2353,16.4,Raptors,placed on IL with sore right ankle (out for season),4,213.36,113.398,25.0,2006,16.499999999999996,9.700000000000001
35,2011,Andrei Kirilenko,SF,64,1999,16.6,Jazz,placed on IL with nerve damage in left knee (out for season),4,205.74,106.59412,30.0,1999,15.099999999999998,16.1
12,2011,Andrew Bogut,C,65,2297,16.7,Bucks,placed on IL with loose particles and scar tissue in right elbow (out for season),4,213.36,117.93392,26.0,2005,19.7,13.0
32,2011,Antawn Jamison,PF,56,1842,16.8,Cavaliers,placed on IL recovering from surgery to repair broken left little finger (out for season),4,205.74,106.59412,35.0,1998,16.4,10.200000000000001
234,2016,Anthony Davis,C,61,2164,25.0,Pelicans,left knee injury and torn labrum in left shoulder (out for season),9,208.28,114.758776,23.0,2012,26.699999999999996,32.9
301,2017,Anthony Tolliver,PF,65,1477,11.1,Kings,placed on IL for rest (out for season),10,203.2,108.86208,32.0,Undrafted,8.399999999999999,5.700000000000002
106,2013,Aron Baynes,C,16,141,8.8,Spurs,placed on IL (out for season),6,208.28,117.93392,26.0,Undrafted,3.200000000000001,8.9
103,2013,Arron Afflalo,SF,64,2307,13.0,Magic,strained right hamstring (out for season),6,195.58,97.52228,27.0,2007,13.600000000000001,9.933333333333332
126,2013,Austin Rivers,SG,61,1418,5.9,Hornets,placed on IL with fractured right hand (out for season),6,193.04,90.7184,20.0,2012,4.6,6.566666666666664
63,2012,Avery Bradley,PG,64,1368,11.3,Celtics,placed on IL with left shoulder injury (out for season),5,187.96,81.64656,21.0,2010,7.1000000000000005,11.599999999999998
115,2013,Blake Griffin,PF,80,2598,22.4,Clippers,placed on IL with strained right hamstring (out for season),6,208.28,113.851592,24.0,2009,21.5,23.599999999999994
107,2013,Bradley Beal,SG,56,1745,13.6,Wizards,placed on IL with stress injury in right fibula (out for season),6,195.58,93.893544,20.0,2012,11.999999999999996,13.500000000000004
221,2015,Brandan Wright,PF,75,1449,20.4,Suns,foot injury / sore left ankle (out for season),8,208.28,95.25432,27.0,2007,11.4,8.499999999999998
192,2015,Brandon Jennings,PG,41,1173,19.7,Pistons,torn left Achilles (out for season),8,185.42,76.657048,25.0,2009,15.000000000000004,8.5
195,2015,Brandon Knight,PG-SG,63,2035,17.1,Suns,placed on IL with sprained left ankle (out for season),8,190.5,85.728888,23.0,2011,14.499999999999998,8.300000000000004
95,2012,Brandon Rush,SF,65,1717,15.2,Warriors,torn ACL in left knee (out for season),5,198.12,102.0582,26.0,2008,11.6,2.1000000000000005
26,2011,Brendan Haywood,C,72,1331,11.7,Mavericks,placed on IL with strained right hip flexor (out for season),4,213.36,119.294696,31.0,2001,7.500000000000001,6.500000000000003
82,2012,Brook Lopez,C,5,136,21.9,Nets,placed on IL with sprained right ankle (out for season),5,213.36,120.20188,24.0,2008,18.599999999999998,21.099999999999998
